,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
235.69,6.8126E-08,9.77703E-09,1.54515E-07,1.17386E-08,4.45432E-09
236.26,6.98313E-08,9.12522E-09,1.54035E-07,1.21067E-08,2.99155E-09
236.83,6.52447E-08,9.47811E-09,1.58988E-07,1.17884E-08,3.81099E-09
237.40,6.27965E-08,9.51192E-09,1.56915E-07,1.13736E-08,3.89785E-09
237.96,6.18345E-08,9.81676E-09,1.53561E-07,1.15861E-08,4.05227E-09
238.53,5.9012E-08,9.61708E-09,1.55464E-07,1.08751E-08,3.54117E-09
239.10,5.93487E-08,9.53168E-09,1.56143E-07,1.13394E-08,3.68851E-09
239.67,5.76115E-08,9.473E-09,1.48873E-07,1.06001E-08,3.9359E-09
240.24,5.82812E-08,9.99956E-09,1.50013E-07,1.11574E-08,3.26301E-09
240.81,5.65318E-08,9.92694E-09,1.47889E-07,1.06249E-08,3.7226E-09
241.38,5.66273E-08,9.28201E-09,1.50729E-07,1.06298E-08,4.08578E-09
241.95,5.00155E-08,9.35804E-09,1.48474E-07,9.90851E-09,3.66982E-09
242.52,5.38772E-08,9.47812E-09,1.45477E-07,8.73764E-09,3.52139E-09
243.09,5.58184E-08,9.30817E-09,1.4605E-07,9.77114E-09,3.70377E-09
243.66,5.25286E-08,1.00293E-08,1.46109E-07,9.93287E-09,3.53597E-09
244.23,5.49032E-08,9.22708E-09,1.44972E-07,1.00616E-08,3.46512E-09
244.80,5.33842E-08,8.36654E-09,1.45122E-07,1.03755E-08,3.37183E-09
245.37,5.15374E-08,9.68028E-09,1.46732E-07,9.82091E-09,3.35958E-09
245.93,5.36569E-08,8.90896E-09,1.46083E-07,9.76961E-09,3.28755E-09
246.50,5.33124E-08,8.9211E-09,1.45606E-07,9.47577E-09,3.5746E-09
247.07,4.40989E-08,9.1004E-09,1.38813E-07,1.06861E-08,3.64629E-09
247.64,5.1111E-08,9.55999E-09,1.3952E-07,9.90305E-09,3.56784E-09
248.21,5.14442E-08,8.90519E-09,1.42427E-07,1.00895E-08,3.78072E-09
248.78,5.10081E-08,9.17197E-09,1.43031E-07,9.85306E-09,3.69301E-09
249.35,5.17104E-08,9.31026E-09,1.41056E-07,1.00578E-08,4.51544E-09
249.92,5.35107E-08,8.93087E-09,1.41391E-07,9.85788E-09,4.64255E-09
250.49,5.1897E-08,9.14341E-09,1.42384E-07,1.0069E-08,5.1775E-09
251.06,5.49606E-08,8.9022E-09,1.40637E-07,9.39801E-09,6.49072E-09
251.63,5.87023E-08,9.67632E-09,1.41652E-07,9.92443E-09,7.20273E-09
252.20,6.33249E-08,8.94517E-09,1.41504E-07,1.03872E-08,8.32178E-09
252.77,6.63589E-08,9.15641E-09,1.44488E-07,1.06449E-08,1.08554E-08
253.34,8.04983E-08,9.25516E-09,1.4387E-07,1.0587E-08,1.35893E-08
253.91,9.81574E-08,9.32871E-09,1.4381E-07,1.15197E-08,1.7257E-08
254.48,1.28543E-07,9.71392E-09,1.45068E-07,1.40388E-08,2.32621E-08
255.05,1.69858E-07,9.91836E-09,1.53118E-07,1.271E-08,3.00047E-08
255.62,2.32122E-07,9.91587E-09,1.56611E-07,1.48056E-08,3.95573E-08
256.19,3.19668E-07,1.06508E-08,1.64191E-07,1.65122E-08,5.15283E-08
256.76,4.32954E-07,1.10999E-08,1.70555E-07,1.91101E-08,6.54396E-08
257.33,5.79274E-07,1.20231E-08,1.89078E-07,2.30807E-08,8.32651E-08
257.90,7.61737E-07,1.33541E-08,1.91719E-07,2.76786E-08,1.0366E-07
258.47,9.74137E-07,1.39823E-08,2.15627E-07,3.36318E-08,1.26491E-07
259.04,1.22976E-06,1.52078E-08,2.26949E-07,4.14949E-08,1.52996E-07
259.61,1.50166E-06,1.74244E-08,2.53169E-07,5.25547E-08,1.79294E-07
260.18,1.81078E-06,1.88638E-08,2.74656E-07,6.46558E-08,2.06119E-07
260.75,2.13088E-06,2.14107E-08,3.0668E-07,8.01359E-08,2.33777E-07
261.32,2.45554E-06,2.41915E-08,3.43531E-07,9.90825E-08,2.58552E-07
261.89,2.78248E-06,2.80795E-08,3.70964E-07,1.19458E-07,2.81981E-07
262.46,3.10237E-06,2.97333E-08,4.24574E-07,1.45228E-07,2.97607E-07
263.03,3.42147E-06,3.24927E-08,4.74864E-07,1.7327E-07,3.07949E-07
263.60,3.68638E-06,3.56403E-08,5.32824E-07,2.04674E-07,3.13324E-07
264.17,3.93995E-06,3.89977E-08,6.17671E-07,2.43977E-07,3.1418E-07
264.74,4.16245E-06,4.2947E-08,6.95303E-07,2.83721E-07,3.08909E-07
265.31,4.33474E-06,4.8656E-08,8.38063E-07,3.27829E-07,2.95653E-07
